id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44085,Villa in Addaia great sea view and fun pool,193043,Manuela,,Es Mercadal,40.00974,4.19958,Entire home/apt,460,5,21,2024-08-25,0.14,3,0,1,ET3036ME
102558,appartment in Menorca -Cala Galdana,536023,Yolanda,,Ciutadella de Menorca,39.9434,3.9613,Entire home/apt,121,3,67,2024-10-29,0.41,1,343,9,ET2253ME
294398,Son Esquella - Charming Menorca,312145,Sol,,Alaior,39.89082,4.11595,Entire home/apt,,32,11,2019-09-08,0.10,3,0,0,
295705,The Most Perfect Villa in Menorca!,312145,Sol,,Alaior,39.89028,4.11476,Entire home/apt,,32,24,2022-05-30,0.16,3,0,0,
357026,Coqueto apartamento Son Bou Menorca + Rent our car,1740878,Emilio,,Alaior,39.9052,4.07072,Entire home/apt,75,5,83,2024-11-03,0.55,1,288,16,Licencia San Jaume Zona 5 APM-1880
358378,MENORCA APARTMENT SON BOU BEACH,1807049,Miguel Angel,,Alaior,39.90183,4.07595,Entire home/apt,200,5,96,2024-10-19,0.77,1,163,14,
366358,"Nature Farmhouse, Private Pool, Sea Access & Cook",1849697,Alessandro,,Ciutadella de Menorca,40.03581,3.96544,Entire home/apt,695,5,45,2024-10-21,0.29,1,221,5,ET 1646 ME
366636,Apartamento en Son Bou Menorca a 300 m. de playa,1851146,Carmen,,Alaior,39.90128,4.07565,Entire home/apt,130,8,32,2024-08-31,0.23,1,328,5,
372756,Beautiful Farm House in Menorca!!!!,312145,Sol,,Alaior,39.87626,4.13161,Entire home/apt,,32,1,2012-08-16,0.01,3,0,0,
425853,"Peaceful, comfortable apartment with sea views",2117118,Jonathan,,Es Mercadal,40.048770904541016,4.109414100646973,Entire home/apt,,5,105,2024-09-26,0.68,1,0,7,ET 3015 ME
