id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44085,Villa in Addaia great sea view and fun pool,193043,Manuela,,Es Mercadal,40.00974,4.19958,Entire home/apt,408,5,21,2024-08-25,0.14,3,32,1,ET3036ME
102558,appartment in Menorca -Cala Galdana,536023,Yolanda,,Ciutadella de Menorca,39.9434,3.9613,Entire home/apt,64,2,65,2024-09-21,0.40,1,362,7,ET2253ME
294398,Son Esquella - Charming Menorca,312145,Natalia,,Alaior,39.89082,4.11595,Entire home/apt,567,32,11,2019-09-08,0.10,3,362,0,
295705,The Most Perfect Villa in Menorca!,312145,Natalia,,Alaior,39.89028,4.11476,Entire home/apt,1125,32,24,2022-05-30,0.16,3,362,0,
357026,Coqueto apartamento Son Bou Menorca + Rent our car,1740878,Emilio,,Alaior,39.9052,4.07072,Entire home/apt,69,3,79,2024-09-19,0.53,1,294,16,Licencia San Jaume Zona 5 APM-1880
358378,MENORCA APARTMENT SON BOU BEACH,1807049,Miguel Angel,,Alaior,39.90183,4.07595,Entire home/apt,62,5,94,2024-09-21,0.77,1,162,16,
366358,"Nature Farmhouse, Private Pool, Sea Access & Cook",1849697,Alessandro,,Ciutadella de Menorca,40.03581,3.96544,Entire home/apt,795,5,44,2024-09-14,0.29,1,295,4,ET 1646 ME
366636,Apartamento en Son Bou Menorca a 300 m. de playa,1851146,Carmen,,Alaior,39.90128,4.07565,Entire home/apt,130,8,32,2024-08-31,0.24,1,365,5,
370676,House,1868061,Olga,,Ciutadella de Menorca,40.00409,3.83713,Entire home/apt,,2,10,2024-07-21,0.13,1,0,1,
372756,Beautiful Farm House in Menorca!!!!,312145,Natalia,,Alaior,39.87626,4.13161,Entire home/apt,,32,1,2012-08-16,0.01,3,365,0,
394135,Mediterranean Garden Villa & Pool,1968952,Anne,,Ciutadella de Menorca,40.01446,3.84385,Entire home/apt,257,7,115,2024-09-08,0.77,2,0,10,CE0738ME
425853,"Peaceful, comfortable apartment with sea views",2117118,Jonathan,,Es Mercadal,40.048770904541016,4.109414100646973,Entire home/apt,110,5,104,2024-08-30,0.69,1,23,6,ET 3015 ME
434190,Ideal para parejas,2155055,María Isabel,,Ciutadella de Menorca,39.92443,3.82661,Entire home/apt,83,4,90,2024-09-18,0.60,1,328,16,
494480,Nice appartment in front of a beach,715601,Jose Luis,,Ciutadella de Menorca,39.99876,3.79916,Entire home/apt,50,2,53,2024-09-27,0.39,3,93,4,ET2739ME
517301,Preciosa casa en el campo con aire acondicionado,2546568,Paqui,,Mahón,39.93384,4.24331,Entire home/apt,190,3,82,2024-09-21,0.56,1,121,10,ET 0275 ME
518633,Rustic farmhouse,1273331,Anne,,Es Castell,39.85917,4.29107,Entire home/apt,430,5,7,2024-09-01,0.05,1,282,3,
545844,The beach on your doorstep!,2684640,María José,,Es Mercadal,40.02113,4.18331,Entire home/apt,167,6,71,2024-09-15,0.52,1,342,11,
