id,host_id,host_since,host_is_superhost,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_oF_reviews,review_scores_rating,license
44085,193043,2010-08-06,F,Es Mercadal,Entire home,Entire home/apt,6,2.0,3,5,483.00,21,4.65,ET3036ME
102558,536023,2011-04-26,T,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1.0,2,4,71.00,67,4.7,ET2253ME
325641,1492975,2011-12-11,F,Mahón,Entire villa,Entire home/apt,6,2.0,3,5,246.00,42,4.48,GE/005061/2019
357026,1740878,2012-02-12,T,Alaior,Entire condo,Entire home/apt,4,1.0,2,3,75.00,83,4.99,Licencia San Jaume Zona 5 APM-1880
358378,1807049,2012-02-25,T,Alaior,Entire rental unit,Entire home/apt,5,1.0,2,3,50.00,96,4.83,
366358,1849697,2012-03-03,F,Ciutadella de Menorca,Entire home,Entire home/apt,12,5.5,7,7,581.00,45,4.93,ET 1646 ME
366636,1851146,2012-03-03,F,Alaior,Entire condo,Entire home/apt,4,1.0,2,3,130.00,32,4.5,
425853,2117118,2012-04-11,F,Es Mercadal,Entire rental unit,Entire home/apt,3,1.0,2,2,75.00,104,4.7,ET 3015 ME
434190,2155055,2012-04-16,T,Ciutadella de Menorca,Entire rental unit,Entire home/apt,2,1.0,1,1,74.00,94,4.79,
494480,715601,2011-06-18,T,Ciutadella de Menorca,Entire condo,Entire home/apt,2,1.0,1,3,39.00,53,4.56,ET2739ME
517301,2546568,2012-06-04,T,Mahón,Entire cottage,Entire home/apt,4,2.0,2,3,190.00,85,4.88,ET 0275 ME
518633,1273331,2011-10-10,F,Es Castell,Entire villa,Entire home/apt,8,3.0,5,6,430.00,7,4.86,
545844,2684640,2012-06-19,T,Es Mercadal,Entire townhouse,Entire home/apt,5,2.0,2,3,151.00,72,4.85,
549304,2700491,2012-06-21,T,Ciutadella de Menorca,Entire home,Entire home/apt,6,3.0,4,7,135.00,151,4.9,ET 1126 MR
596553,2949986,2012-07-16,F,Es Mercadal,Entire home,Entire home/apt,2,1.0,1,1,180.00,67,4.85,
725695,3753883,2012-10-04,T,Alaior,Entire cottage,Entire home/apt,12,3.0,6,6,394.00,60,4.78,HET Exp 009
854050,4459815,2012-12-21,F,Ciutadella de Menorca,Entire villa,Entire home/apt,10,4.5,5,8,400.00,26,4.54,VT/696/ME
854051,4459815,2012-12-21,F,Ciutadella de Menorca,Entire villa,Entire home/apt,10,4.0,5,8,400.00,6,4.5,VT/696/ME
932244,5013601,2013-02-08,T,Es Mercadal,Private room in home,Private room,2,1.0,1,1,55.00,139,4.91,
932315,5013601,2013-02-08,T,Es Mercadal,Private room in home,Private room,2,1.0,1,1,55.00,134,4.85,
954903,5186207,2013-02-22,F,Mahón,Entire home,Entire home/apt,8,3.0,5,5,261.00,0,,ESFCTU00000701300012120300000000000000000000ET0338ME1
967834,5719722,2013-04-01,T,Ciutadella de Menorca,Entire home,Entire home/apt,7,2.5,3,3,217.00,221,4.95,CE0839ME
976380,5342587,2013-03-06,T,Sant Lluís,Entire rental unit,Entire home/apt,4,1.0,2,3,89.00,151,4.87,ET 2870 ME
976381,5342587,2013-03-06,T,Sant Lluís,Entire rental unit,Entire home/apt,4,1.0,2,3,89.00,136,4.86,ET 2870 ME
976386,5342587,2013-03-06,T,Sant Lluís,Entire rental unit,Entire home/apt,4,1.0,2,3,89.00,115,4.81,ET 2870 ME
994133,5460821,2013-03-14,T,Ciutadella de Menorca,Entire townhouse,Entire home/apt,4,1.0,2,3,75.00,142,4.82,1340
999469,715601,2011-06-18,T,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1.0,2,4,52.00,62,4.81,
1029964,5667074,2013-03-28,F,Es Mercadal,Entire cottage,Entire home/apt,8,3.0,4,6,95.00,28,4.75,
1044166,5748807,2013-04-03,T,Es Mercadal,Entire home,Entire home/apt,6,2.0,3,0,268.00,21,4.2,ET1897ME
1054742,5808369,2013-04-07,T,Ciutadella de Menorca,Entire home,Entire home/apt,9,4.5,5,7,290.00,15,4.87,VT818ME
1065016,5808369,2013-04-07,T,Ciutadella de Menorca,Entire rental unit,Entire home/apt,6,3.0,3,4,180.00,10,4.8,VT818ME
