CODI,NOM,NOM_CONSELL_ILLA,CODNUT3,beginlifespanversion,endlifespanversion,AREA_HA,shape_area,shape_len
7001,Alaró,Mallorca,ES532,2017-08-25T11:50:42.000Z,,4569,45685051.179277398,41534.364326528797
7002,Alaior,Menorca,ES533,2017-08-25T11:50:42.000Z,,10970,109697317.984081,64926.187819809304
7003,Alcúdia,Mallorca,ES532,2017-08-25T11:50:42.000Z,,5992,59915865.264746502,70803.133504905811
7004,Algaida,Mallorca,ES532,2017-08-25T11:50:42.000Z,,8970,89702357.705989495,42895.770327985105
7005,Andratx,Mallorca,ES532,2017-08-25T11:50:42.000Z,,8136,81358517.124957606,85658.519287531701
7006,Artà,Mallorca,ES532,2017-08-25T11:50:42.000Z,,13967,139668255.49728301,75845.388522425012
7007,Banyalbufar,Mallorca,ES532,2017-08-25T11:50:42.000Z,,1803,18031286.997659098,25869.927170023402
7008,Binissalem,Mallorca,ES532,2017-08-25T11:50:42.000Z,,2975,29747419.906846799,26219.781980457799
7009,Búger,Mallorca,ES532,2017-08-25T11:50:42.000Z,,828,8281073.4602748696,17948.985413882998
7010,Bunyola,Mallorca,ES532,2017-08-25T11:50:42.000Z,,8463,84629098.194588393,52491.995475567695
7011,Calvià,Mallorca,ES532,2017-08-25T11:50:42.000Z,,14491,144908420.90991601,131060.24662992501
7012,Campanet,Mallorca,ES532,2017-08-25T11:50:42.000Z,,3462,34623797.346624099,31334.767604041102
7013,Campos,Mallorca,ES532,2017-08-25T11:50:42.000Z,,14948,149475460.88242301,60229.4168426908
7014,Capdepera,Mallorca,ES532,2017-08-25T11:50:42.000Z,,5488,54883103.349203803,60539.460083396902
7015,Ciutadella de Menorca,Menorca,ES533,2017-08-25T11:50:42.000Z,,18600,185995290.204972,117636.013485057
7016,Consell,Mallorca,ES532,2017-08-25T11:50:42.000Z,,1369,13690749.280209299,16500.180307425599
7017,Costitx,Mallorca,ES532,2017-08-25T11:50:42.000Z,,1535,15354239.377065299,21771.9543041135
7018,Deià,Mallorca,ES532,2017-08-25T11:50:42.000Z,,1512,15116686.6687911,24365.428604328001
7019,Escorca,Mallorca,ES532,2017-08-25T11:50:42.000Z,,13909,139094011.17923799,85030.194047011799
7020,Esporles,Mallorca,ES532,2017-08-25T11:50:42.000Z,,3527,35265569.519081697,34258.797349549299
7021,Estellencs,Mallorca,ES532,2017-08-25T11:50:42.000Z,,1339,13389762.4236493,21288.0422296664
7022,Felanitx,Mallorca,ES532,2017-08-25T11:50:42.000Z,,16957,169571792.134379,88989.455564181102
7023,Ferreries,Menorca,ES533,2017-08-25T11:50:42.000Z,,6603,66031821.816607103,56284.3721623405
7024,Formentera,Formentera,ES531,2017-08-25T11:50:42.000Z,,8253,82529337.671970904,114992.27459055101
7025,Fornalutx,Mallorca,ES532,2017-08-25T11:50:42.000Z,,1948,19482108.407808699,22261.341238402001
7026,Eivissa,Eivissa,ES531,2017-08-25T11:50:42.000Z,,1121,11205623.572318399,42869.359355369699
7027,Inca,Mallorca,ES532,2017-08-25T11:50:42.000Z,,5829,58290205.642148599,37408.1593845237
7028,Lloret de Vistalegre,Mallorca,ES532,2017-08-25T11:50:42.000Z,,1743,17426342.590231299,22031.058568546399
7029,Lloseta,Mallorca,ES532,2017-08-25T11:50:42.000Z,,1209,12089109.2584993,21163.872702786401
7030,Llubí,Mallorca,ES532,2017-08-25T11:50:42.000Z,,3489,34891928.454727098,27356.449743624402
7031,Llucmajor,Mallorca,ES532,2017-08-25T11:50:42.000Z,,32705,327047818.32216299,98546.275638744599
7032,Maó,Menorca,ES533,2017-08-25T11:50:42.000Z,,11736,117364283.08572701,162202.81627960899
7033,Manacor,Mallorca,ES532,2017-08-25T11:50:42.000Z,,25996,259964192.869151,112706.09446333699
7034,Mancor de la Vall,Mallorca,ES532,2017-08-25T11:50:42.000Z,,1987,19874462.183683299,21753.6873602089
7035,Maria de la Salut,Mallorca,ES532,2017-08-25T11:50:42.000Z,,3050,30496874.944148701,31934.571343314601
7036,Marratxí,Mallorca,ES532,2017-08-25T11:50:42.000Z,,5417,54173415.387567602,33538.189590836599
7037,Es Mercadal,Menorca,ES533,2017-08-25T11:50:42.000Z,,13802,138016221.98939899,157339.49940754598
7038,Montuïri,Mallorca,ES532,2017-08-25T11:50:42.000Z,,4109,41092414.483525097,34751.340885668906
7039,Muro,Mallorca,ES532,2017-08-25T11:50:42.000Z,,5857,58568720.878191799,39185.414750014803
7040,Palma,Mallorca,ES532,2017-08-25T11:50:42.000Z,,20856,208557336.90363899,193801.14129836601
7041,Petra,Mallorca,ES532,2017-08-25T11:50:42.000Z,,6998,69981569.608812094,61337.089871325101
7042,Pollença,Mallorca,ES532,2017-08-25T11:50:42.000Z,,15115,151145334.40121901,123457.35275591101
7043,Porreres,Mallorca,ES532,2017-08-25T11:50:42.000Z,,8684,86841891.909390599,45530.329119501599
7044,Sa Pobla,Mallorca,ES532,2017-08-25T11:50:42.000Z,,4855,48546418.359921902,38263.750475252098
7045,Puigpunyent,Mallorca,ES532,2017-08-25T11:50:42.000Z,,4228,42280829.8665592,32335.722219047002
7046,Sant Antoni de Portmany,Eivissa,ES531,2017-08-25T11:50:42.000Z,,12656,126558685.752847,76775.474251232197
7047,Sencelles,Mallorca,ES532,2017-08-25T11:50:42.000Z,,5281,52814762.966953397,42100.418952817003
7048,Sant Josep de sa Talaia,Eivissa,ES531,2017-08-25T11:50:42.000Z,,15891,158914157.00014099,147635.87284179
7049,Sant Joan,Mallorca,ES532,2017-08-25T11:50:42.000Z,,3850,38503445.283866301,36544.046002022398
7050,Sant Joan de Labritja,Eivissa,ES531,2017-08-25T11:50:42.000Z,,12161,121614305.64457899,98031.297890932809
7051,Sant Llorenç des Cardassar,Mallorca,ES532,2017-08-25T11:50:42.000Z,,8198,81975508.314138696,54586.564107485297
7052,Sant Lluís,Menorca,ES533,2017-08-25T11:50:42.000Z,,3467,34669608.347445503,50175.684593107202
7053,Santa Eugènia,Mallorca,ES532,2017-08-25T11:50:42.000Z,,2024,20235049.8332875,23864.712318882899
7054,Santa Eulària des Riu,Eivissa,ES531,2017-08-25T11:50:42.000Z,,15350,153501768.339582,125626.65412096999
7055,Santa Margalida,Mallorca,ES532,2017-08-25T11:50:42.000Z,,8645,86454854.326244399,48206.240873648101
7056,Santa Maria del Camí,Mallorca,ES532,2017-08-25T11:50:42.000Z,,3759,37587823.993661001,34211.225179510904
7057,Santanyí,Mallorca,ES532,2017-08-25T11:50:42.000Z,,12440,124397689.589913,94158.274290062298
7058,Selva,Mallorca,ES532,2017-08-25T11:50:42.000Z,,4871,48707638.540789597,41772.846962204007
7059,Ses Salines,Mallorca,ES532,2017-08-25T11:50:42.000Z,,3901,39013976.3342233,43406.511019051104
7060,Sineu,Mallorca,ES532,2017-08-25T11:50:42.000Z,,4770,47697022.633731999,33509.374386567404
7061,Sóller,Mallorca,ES532,2017-08-25T11:50:42.000Z,,4273,42731870.132940598,46184.929952738399
7062,Son Servera,Mallorca,ES532,2017-08-25T11:50:42.000Z,,4254,42542210.552096702,39689.169179341501
7063,Valldemossa,Mallorca,ES532,2017-08-25T11:50:42.000Z,,4284,42836369.996355101,39765.254466291502
7064,Es Castell,Menorca,ES533,2017-08-25T11:50:42.000Z,,1160,11595312.3279738,22234.7938283525
7065,Vilafranca de Bonany,Mallorca,ES532,2017-08-25T11:50:42.000Z,,2394,23942988.154550601,23506.6232881467
7901,Ariany,Mallorca,ES532,2017-08-25T11:50:42.000Z,,2312,23118603.5200154,31309.764080757403
7902,Es Migjorn Gran,Menorca,ES533,2017-08-25T11:50:42.000Z,,3138,31383864.972197801,33195.845151576905
